"Date","Price","Open","High","Low","Change %"
"04-04-2025","6.570","6.596","6.597","6.566","-0.45%"
"03-04-2025","6.600","6.591","6.609","6.585","0.15%"
"02-04-2025","6.590","6.681","6.681","6.593","-1.35%"
"28-03-2025","6.680","6.745","6.745","6.683","-0.30%"
"27-03-2025","6.700","6.740","6.740","6.697","-0.15%"
"26-03-2025","6.710","6.780","6.780","6.708","-0.89%"
"25-03-2025","6.770","6.777","6.778","6.756","0.15%"
"24-03-2025","6.760","6.788","6.788","6.761","0.00%"
"21-03-2025","6.760","6.784","6.784","6.759","-0.15%"
"20-03-2025","6.770","6.791","6.791","6.763","-0.29%"
"19-03-2025","6.790","6.831","6.803","6.790","-0.29%"
"18-03-2025","6.810","6.831","6.831","6.807","-0.15%"
"17-03-2025","6.820","6.853","6.853","6.820","-0.15%"
"13-03-2025","6.830","6.842","6.845","6.827","-0.15%"
"12-03-2025","6.840","6.867","6.868","6.835","-0.15%"
"11-03-2025","6.850","6.874","6.874","6.851","-0.29%"
"10-03-2025","6.870","6.869","6.885","6.868","0.15%"
"07-03-2025","6.860","6.875","6.875","6.861","0.00%"
"06-03-2025","6.860","6.902","6.902","6.861","-0.58%"
"05-03-2025","6.900","6.940","6.940","6.897","-0.29%"
"04-03-2025","6.920","6.917","6.924","6.904","0.14%"
"03-03-2025","6.910","6.924","6.936","6.907","0.14%"
"28-02-2025","6.900","6.885","6.910","6.884","0.29%"
"27-02-2025","6.880","6.860","6.882","6.860","0.31%"
"25-02-2025","6.859","6.875","6.875","6.854","-0.01%"
"24-02-2025","6.860","6.868","6.868","6.857","-0.12%"
"21-02-2025","6.868","6.863","6.876","6.861","0.18%"
"20-02-2025","6.856","6.859","6.863","6.847","0.15%"
"18-02-2025","6.846","6.864","6.864","6.845","-0.07%"
"17-02-2025","6.851","6.848","6.859","6.846","-0.09%"
"14-02-2025","6.857","6.859","6.863","6.848","-0.03%"
"13-02-2025","6.859","6.875","6.875","6.851","0.15%"
"12-02-2025","6.849","6.862","6.862","6.848","-0.01%"
"11-02-2025","6.850","6.869","6.869","6.833","-0.16%"
"10-02-2025","6.861","6.875","6.875","6.853","0.22%"
"07-02-2025","6.846","6.797","6.854","6.790","0.69%"
"06-02-2025","6.799","6.807","6.807","6.795","-0.10%"
"05-02-2025","6.806","6.810","6.814","6.799","-0.13%"
"04-02-2025","6.815","6.826","6.826","6.812","0.10%"
"03-02-2025","6.808","6.858","6.858","6.801","-0.22%"
"31-01-2025","6.823","6.832","6.832","6.817","0.19%"
"30-01-2025","6.810","6.821","6.821","6.807","-0.04%"
"29-01-2025","6.813","6.809","6.831","6.803","0.13%"
"28-01-2025","6.804","6.771","6.837","6.764","0.21%"
"27-01-2025","6.790","6.787","6.797","6.778","-0.51%"
"24-01-2025","6.825","6.843","6.843","6.813","-0.23%"
"23-01-2025","6.841","6.843","6.844","6.831","0.13%"
"22-01-2025","6.832","6.862","6.869","6.830","-0.34%"
"21-01-2025","6.855","6.875","6.875","6.853","-0.41%"
"20-01-2025","6.883","6.897","6.946","6.883","-0.20%"
"17-01-2025","6.897","6.877","6.902","6.872","0.22%"
"16-01-2025","6.882","6.908","6.908","6.878","-0.65%"
"15-01-2025","6.927","6.957","6.957","6.922","-0.10%"
"14-01-2025","6.934","6.973","6.990","6.931","-0.23%"
"13-01-2025","6.950","6.919","6.967","6.902","1.06%"
"10-01-2025","6.877","6.886","6.886","6.868","0.06%"
"09-01-2025","6.873","6.897","6.897","6.870","-0.04%"
"08-01-2025","6.876","6.892","6.892","6.851","0.17%"
"07-01-2025","6.864","6.881","6.882","6.847","-0.20%"
"06-01-2025","6.878","6.901","6.901","6.874","-0.13%"
"03-01-2025","6.887","6.913","6.913","6.884","-0.06%"
"02-01-2025","6.891","6.903","6.903","6.891","0.01%"
"01-01-2025","6.890","6.897","6.897","6.884","0.29%"
"31-12-2024","6.870","6.897","6.897","6.870","-0.20%"
"30-12-2024","6.884","6.903","6.903","6.884","-0.20%"
"27-12-2024","6.898","6.918","6.923","6.895","0.04%"
"26-12-2024","6.895","6.877","6.898","6.877","0.29%"
"24-12-2024","6.875","6.870","6.880","6.868","0.16%"
"23-12-2024","6.864","6.872","6.872","6.861","-0.13%"
"20-12-2024","6.873","6.892","6.892","6.872","0.06%"
"19-12-2024","6.869","6.881","6.881","6.869","0.42%"
"18-12-2024","6.840","6.865","6.865","6.840","-0.13%"
"17-12-2024","6.849","6.844","6.854","6.842","0.22%"
"16-12-2024","6.834","6.862","6.862","6.832","-0.01%"
"13-12-2024","6.835","6.865","6.865","6.835","-0.22%"
"12-12-2024","6.850","6.854","6.857","6.845","0.13%"
"11-12-2024","6.841","6.849","6.849","6.831","0.12%"
"10-12-2024","6.833","6.844","6.844","6.820","-0.13%"
"09-12-2024","6.842","6.869","6.869","6.842","-0.42%"
"06-12-2024","6.871","6.817","6.892","6.817","0.87%"
"05-12-2024","6.812","6.816","6.820","6.811","-0.01%"
"04-12-2024","6.813","6.835","6.835","6.811","-0.22%"
"03-12-2024","6.828","6.858","6.858","6.827","0.06%"
"02-12-2024","6.824","6.847","6.849","6.824","-1.14%"
"29-11-2024","6.903","6.903","6.903","6.903","-0.39%"
"28-11-2024","6.930","6.952","6.952","6.930","0.04%"
"27-11-2024","6.927","6.941","6.941","6.927","-0.07%"
"26-11-2024","6.932","6.941","6.941","6.932","-0.03%"
"25-11-2024","6.934","6.934","6.934","6.934","-0.30%"
"22-11-2024","6.955","6.955","6.955","6.955","0.20%"
"21-11-2024","6.941","6.962","6.962","6.940","0.12%"
"19-11-2024","6.933","6.963","6.963","6.933","-0.14%"
"18-11-2024","6.943","6.943","6.943","6.943","0.46%"
"14-11-2024","6.911","6.911","6.911","6.911","0.19%"
"13-11-2024","6.898","6.898","6.898","6.898","0.13%"
"12-11-2024","6.889","6.889","6.889","6.889","-0.16%"
"11-11-2024","6.900","6.900","6.900","6.900","-0.04%"
"08-11-2024","6.903","6.903","6.903","6.903","0.13%"
"07-11-2024","6.894","6.894","6.894","6.894","0.23%"
"06-11-2024","6.878","6.878","6.878","6.878","0.04%"
"05-11-2024","6.875","6.875","6.875","6.875","-0.06%"
"04-11-2024","6.879","6.879","6.879","6.879","0.10%"
"31-10-2024","6.872","6.871","6.875","6.864","0.22%"
"30-10-2024","6.857","6.877","6.877","6.855","-0.23%"
"29-10-2024","6.873","6.900","6.900","6.864","-0.29%"
"28-10-2024","6.893","6.898","6.898","6.880","0.25%"
"25-10-2024","6.876","6.866","6.881","6.851","0.29%"
"24-10-2024","6.856","6.868","6.868","6.847","0.03%"
"23-10-2024","6.854","6.877","6.877","6.849","-0.16%"
"22-10-2024","6.865","6.883","6.883","6.855","-0.09%"
"21-10-2024","6.871","6.888","6.888","6.855","0.17%"
"18-10-2024","6.859","6.858","6.872","6.844","0.31%"
"17-10-2024","6.838","6.840","6.840","6.824","0.18%"
"16-10-2024","6.826","6.824","6.832","6.811","0.18%"
"15-10-2024","6.814","6.840","6.840","6.812","-0.12%"
"14-10-2024","6.822","6.836","6.836","6.807","-0.12%"
"11-10-2024","6.830","6.838","6.839","6.805","0.32%"
"10-10-2024","6.808","6.824","6.824","6.787","-0.01%"
"09-10-2024","6.809","6.867","6.867","6.779","-0.66%"
"08-10-2024","6.854","6.909","6.909","6.851","-0.52%"
"07-10-2024","6.890","6.910","6.910","6.863","0.19%"
"04-10-2024","6.877","6.837","6.882","6.831","1.06%"
"03-10-2024","6.805","6.791","6.811","6.772","0.61%"
"01-10-2024","6.764","6.802","6.802","6.763","-0.38%"
"30-09-2024","6.790","6.801","6.801","6.789","-0.24%"
"27-09-2024","6.806","6.773","6.813","6.768","0.62%"
"26-09-2024","6.764","6.792","6.792","6.754","-0.41%"
"25-09-2024","6.792","6.816","6.816","6.787","-0.40%"
"24-09-2024","6.819","6.828","6.831","6.815","-0.06%"
"23-09-2024","6.823","6.839","6.839","6.819","-0.01%"
"20-09-2024","6.824","6.823","6.826","6.801","0.12%"
"19-09-2024","6.816","6.847","6.847","6.801","-0.31%"
"17-09-2024","6.837","6.814","6.843","6.805","0.34%"
"16-09-2024","6.814","6.861","6.861","6.814","-0.54%"
"13-09-2024","6.851","6.880","6.880","6.838","-0.22%"
"12-09-2024","6.866","6.889","6.889","6.864","-0.23%"
"11-09-2024","6.882","6.903","6.903","6.879","-0.38%"
"10-09-2024","6.908","6.915","6.915","6.906","-0.01%"
"09-09-2024","6.909","6.912","6.912","6.907","-0.03%"
"06-09-2024","6.911","6.911","6.912","6.904","0.03%"
"05-09-2024","6.909","6.905","6.910","6.901","-0.01%"
"04-09-2024","6.910","6.927","6.927","6.907","-0.16%"
"03-09-2024","6.921","6.934","6.934","6.921","-0.04%"
"02-09-2024","6.924","6.925","6.927","6.918","0.13%"
"30-08-2024","6.915","6.927","6.927","6.913","0.00%"
"29-08-2024","6.915","6.924","6.924","6.915","-0.03%"
"28-08-2024","6.917","6.920","6.920","6.912","0.03%"
"27-08-2024","6.915","6.920","6.920","6.911","0.12%"
"26-08-2024","6.907","6.916","6.916","6.904","-0.10%"
"23-08-2024","6.914","6.926","6.926","6.903","0.10%"
"22-08-2024","6.907","6.919","6.919","6.899","-0.01%"
"21-08-2024","6.908","6.903","6.915","6.900","-0.04%"
"20-08-2024","6.911","6.930","6.930","6.906","-0.17%"
"19-08-2024","6.923","6.947","6.947","6.918","-0.24%"
"16-08-2024","6.940","6.975","6.975","6.939","0.06%"
"14-08-2024","6.936","6.958","6.958","6.936","-0.26%"
"13-08-2024","6.954","6.952","6.964","6.949","0.03%"
"12-08-2024","6.952","6.954","6.958","6.947","-0.01%"
"09-08-2024","6.953","6.959","6.959","6.952","0.10%"
"08-08-2024","6.946","6.956","6.961","6.940","0.12%"
"07-08-2024","6.938","6.965","6.965","6.937","-0.20%"
"06-08-2024","6.952","6.964","6.964","6.947","0.06%"
"05-08-2024","6.948","6.951","6.954","6.932","-0.49%"
"02-08-2024","6.982","6.998","6.998","6.981","-0.21%"
"01-08-2024","6.997","7.000","7.003","6.989","-0.01%"
"31-07-2024","6.998","7.003","7.024","6.991","0.03%"
"30-07-2024","6.996","6.978","7.001","6.972","0.37%"
"29-07-2024","6.970","6.992","6.992","6.965","-0.11%"
"26-07-2024","6.978","6.994","6.994","6.967","-0.10%"
"25-07-2024","6.985","7.007","7.007","6.982","-0.10%"
"24-07-2024","6.992","7.007","7.007","6.984","-0.03%"
"23-07-2024","6.994","7.016","7.016","6.981","0.00%"
"22-07-2024","6.994","7.011","7.011","6.991","-0.04%"
"19-07-2024","6.997","7.014","7.014","6.995","-0.01%"
"18-07-2024","6.998","7.004","7.004","6.993","-0.06%"
"16-07-2024","7.002","7.024","7.024","7.000","-0.21%"
"15-07-2024","7.017","7.040","7.040","7.016","-0.04%"
"12-07-2024","7.020","7.019","7.030","7.013","0.03%"
"11-07-2024","7.018","7.018","7.018","7.018","0.04%"
"10-07-2024","7.015","7.030","7.030","7.013","-0.13%"
"09-07-2024","7.024","7.030","7.030","7.021","-0.01%"
"08-07-2024","7.025","7.034","7.034","7.022","-0.09%"
"05-07-2024","7.031","7.046","7.046","7.026","0.07%"
"04-07-2024","7.026","7.023","7.029","7.017","0.06%"
"03-07-2024","7.022","7.039","7.039","7.022","-0.13%"
"02-07-2024","7.031","7.031","7.031","7.031","-0.09%"
"01-07-2024","7.037","7.052","7.052","7.035","0.07%"
"28-06-2024","7.032","7.022","7.045","7.020","0.14%"
"27-06-2024","7.022","7.034","7.034","7.015","-0.04%"
"26-06-2024","7.025","7.024","7.028","7.016","0.17%"
"25-06-2024","7.013","7.011","7.023","7.004","0.11%"
"24-06-2024","7.005","7.014","7.014","6.991","-0.03%"
"21-06-2024","7.007","7.020","7.020","7.002","-0.10%"
"20-06-2024","7.014","7.024","7.024","7.007","0.04%"
"19-06-2024","7.011","7.030","7.030","7.007","-0.16%"
"18-06-2024","7.022","7.034","7.034","7.022","-0.06%"
"14-06-2024","7.026","7.018","7.036","7.010","0.19%"
"13-06-2024","7.013","7.031","7.031","7.010","-0.28%"
"12-06-2024","7.033","7.033","7.047","7.032","0.00%"
"11-06-2024","7.033","7.052","7.052","7.030","-0.18%"
"10-06-2024","7.046","7.066","7.066","7.042","0.17%"
"07-06-2024","7.034","7.084","7.084","7.031","-0.10%"
"06-06-2024","7.041","7.075","7.075","7.038","-0.20%"
"05-06-2024","7.055","7.092","7.118","7.055","-0.24%"
"04-06-2024","7.072","7.008","7.108","7.007","1.10%"
"03-06-2024","6.995","7.010","7.015","6.991","-0.55%"
"31-05-2024","7.034","7.059","7.059","7.034","-0.16%"
"30-05-2024","7.045","7.072","7.072","7.039","-0.16%"
"29-05-2024","7.056","7.075","7.075","7.043","0.07%"
"28-05-2024","7.051","7.048","7.055","7.030","0.23%"
"27-05-2024","7.035","7.037","7.037","7.024","-0.03%"
"24-05-2024","7.037","7.069","7.069","7.029","-0.26%"
"22-05-2024","7.055","7.102","7.102","7.053","-0.59%"
"21-05-2024","7.097","7.121","7.121","7.092","-0.25%"
"17-05-2024","7.115","7.114","7.128","7.100","0.24%"
"16-05-2024","7.098","7.092","7.114","7.084","-0.24%"
"15-05-2024","7.115","7.122","7.130","7.114","-0.25%"
"14-05-2024","7.133","7.185","7.185","7.130","-0.20%"
"13-05-2024","7.147","7.163","7.163","7.145","-0.11%"
"10-05-2024","7.155","7.172","7.172","7.144","-0.18%"
"09-05-2024","7.168","7.188","7.188","7.167","-0.14%"
"08-05-2024","7.178","7.180","7.184","7.169","0.11%"
"07-05-2024","7.170","7.157","7.181","7.154","0.24%"
"06-05-2024","7.153","7.180","7.180","7.152","-0.45%"
"03-05-2024","7.185","7.202","7.202","7.183","-0.19%"
"02-05-2024","7.199","7.229","7.229","7.198","-0.24%"
"30-04-2024","7.216","7.229","7.229","7.216","0.00%"
"29-04-2024","7.216","7.229","7.239","7.212","-0.04%"
"26-04-2024","7.219","7.252","7.252","7.213","0.14%"
"25-04-2024","7.209","7.230","7.230","7.206","0.06%"
"24-04-2024","7.205","7.219","7.219","7.192","0.19%"
"23-04-2024","7.191","7.229","7.229","7.191","-0.15%"
"22-04-2024","7.202","7.285","7.285","7.201","-0.29%"
"19-04-2024","7.223","7.230","7.240","7.221","0.33%"
"18-04-2024","7.199","7.210","7.210","7.191","-0.19%"
"16-04-2024","7.213","7.239","7.240","7.208","0.24%"
"15-04-2024","7.196","7.196","7.196","7.196","-0.10%"
"12-04-2024","7.203","7.203","7.203","7.203","1.12%"
"10-04-2024","7.123","7.123","7.123","7.123","-0.64%"
"08-04-2024","7.169","7.169","7.169","7.169","0.20%"
"05-04-2024","7.155","7.155","7.155","7.155","0.42%"
"04-04-2024","7.125","7.125","7.125","7.125","-0.18%"
"03-04-2024","7.138","7.138","7.138","7.138","-0.06%"
"02-04-2024","7.142","7.140","7.142","7.136","0.76%"
"28-03-2024","7.088","7.088","7.088","7.088","-0.62%"
"27-03-2024","7.132","7.132","7.132","7.132","0.11%"
"26-03-2024","7.124","7.124","7.124","7.124","0.30%"
"22-03-2024","7.103","7.103","7.103","7.103","-0.35%"
"21-03-2024","7.128","7.128","7.128","7.128","-0.24%"
"20-03-2024","7.145","7.145","7.145","7.145","0.04%"
"19-03-2024","7.142","7.142","7.142","7.142","0.04%"
"18-03-2024","7.139","7.139","7.139","7.139","0.38%"
"15-03-2024","7.112","7.149","7.149","7.112","0.08%"
"14-03-2024","7.106","7.137","7.137","7.106","0.30%"
"13-03-2024","7.085","7.146","7.146","7.085","-0.06%"
"12-03-2024","7.089","7.089","7.089","7.089","-0.10%"
"11-03-2024","7.096","7.104","7.104","7.095","-0.15%"
"07-03-2024","7.107","7.144","7.144","7.107","-0.01%"
"06-03-2024","7.108","7.126","7.137","7.108","0.04%"
"05-03-2024","7.105","7.137","7.137","7.105","-0.04%"
"04-03-2024","7.108","7.135","7.135","7.108","0.08%"
"01-03-2024","7.102","7.137","7.166","7.102","-0.28%"
"29-02-2024","7.122","7.122","7.122","7.122","0.08%"
"28-02-2024","7.116","7.140","7.145","7.116","-0.07%"
"27-02-2024","7.121","7.137","7.148","7.121","0.08%"
"26-02-2024","7.115","7.115","7.115","7.115","-0.35%"
"23-02-2024","7.140","7.143","7.143","7.140","0.32%"
"22-02-2024","7.117","7.153","7.160","7.117","0.03%"
"21-02-2024","7.115","7.126","7.137","7.115","-0.15%"
"20-02-2024","7.126","7.146","7.146","7.126","0.00%"
"16-02-2024","7.126","7.160","7.160","7.126","-0.10%"
"15-02-2024","7.133","7.160","7.160","7.133","-0.35%"
"14-02-2024","7.158","7.210","7.210","7.158","0.04%"
"13-02-2024","7.155","7.160","7.182","7.154","0.08%"
"12-02-2024","7.149","7.160","7.160","7.136","-0.21%"
"09-02-2024","7.164","7.137","7.182","7.135","1.04%"
"08-02-2024","7.090","7.131","7.160","7.090","-0.35%"
"07-02-2024","7.115","7.137","7.137","7.115","-0.20%"
"06-02-2024","7.129","7.130","7.160","7.128","-0.06%"
"05-02-2024","7.133","7.137","7.137","7.126","0.41%"
"02-02-2024","7.104","7.115","7.160","7.104","-1.32%"
"01-02-2024","7.199","7.220","7.220","7.170","-0.55%"
"31-01-2024","7.239","7.273","7.273","7.239","0.21%"
"30-01-2024","7.224","7.293","7.293","7.224","-0.17%"
"29-01-2024","7.236","7.330","7.330","7.236","-0.39%"
"25-01-2024","7.264","7.307","7.307","7.264","-0.04%"
"24-01-2024","7.267","7.295","7.295","7.267","-0.25%"
"23-01-2024","7.285","7.301","7.318","7.285","-0.33%"
"19-01-2024","7.309","7.335","7.335","7.307","0.16%"
"18-01-2024","7.297","7.320","7.320","7.297","0.22%"
"17-01-2024","7.281","7.302","7.302","7.281","0.21%"
"16-01-2024","7.266","7.284","7.295","7.266","-0.12%"
"15-01-2024","7.275","7.284","7.285","7.264","-0.48%"
"12-01-2024","7.310","7.301","7.310","7.295","0.16%"
"11-01-2024","7.298","7.323","7.323","7.290","-0.22%"
"10-01-2024","7.314","7.331","7.331","7.314","-0.46%"
"09-01-2024","7.348","7.365","7.365","7.329","-0.23%"
"08-01-2024","7.365","7.363","7.374","7.363","-0.46%"
"05-01-2024","7.399","7.397","7.399","7.397","0.31%"
"04-01-2024","7.376","7.376","7.376","7.376","0.09%"
"03-01-2024","7.369","7.369","7.369","7.369","-0.08%"
"02-01-2024","7.375","7.375","7.375","7.375","0.18%"
"01-01-2024","7.362","7.365","7.365","7.362","0.40%"
"29-12-2023","7.333","7.350","7.350","7.321","-0.31%"
"28-12-2023","7.356","7.356","7.356","7.351","0.14%"
"27-12-2023","7.346","7.346","7.346","7.346","0.01%"
"26-12-2023","7.345","7.345","7.345","7.345","-0.01%"
"22-12-2023","7.346","7.346","7.346","7.346","-0.01%"
"21-12-2023","7.347","7.347","7.347","7.347","0.29%"
"20-12-2023","7.326","7.327","7.327","7.326","-0.05%"
"19-12-2023","7.330","7.330","7.330","7.330","0.00%"
"18-12-2023","7.330","7.330","7.330","7.330","0.21%"
"15-12-2023","7.315","7.315","7.315","7.315","-0.42%"
"14-12-2023","7.346","7.407","7.407","7.346","-0.57%"
"13-12-2023","7.388","7.407","7.407","7.388","-0.38%"
"12-12-2023","7.416","7.407","7.416","7.407","-0.07%"
"11-12-2023","7.421","7.421","7.421","7.421","0.20%"
"08-12-2023","7.406","7.406","7.406","7.406","0.33%"
"07-12-2023","7.382","7.382","7.382","7.382","-0.09%"
"06-12-2023","7.389","7.389","7.389","7.389","-0.40%"
"05-12-2023","7.419","7.419","7.419","7.419","-0.12%"
"04-12-2023","7.428","7.428","7.428","7.428","-0.46%"
"01-12-2023","7.462","7.462","7.462","7.462","0.39%"
"30-11-2023","7.433","7.433","7.433","7.433","0.26%"
"29-11-2023","7.414","7.414","7.414","7.414","-0.19%"
"28-11-2023","7.428","7.428","7.428","7.428","0.23%"
"24-11-2023","7.411","7.411","7.411","7.411","0.34%"
"23-11-2023","7.386","7.386","7.386","7.386","0.07%"
"22-11-2023","7.381","7.381","7.381","7.381","-0.15%"
"21-11-2023","7.392","7.392","7.392","7.392","-0.05%"
"20-11-2023","7.396","7.396","7.396","7.396","0.56%"
"17-11-2023","7.355","7.355","7.355","7.355","-0.23%"
"16-11-2023","7.372","7.372","7.372","7.372","0.01%"
"15-11-2023","7.371","7.371","7.371","7.371","-0.78%"
"13-11-2023","7.429","7.429","7.429","7.429","-0.13%"
"10-11-2023","7.439","7.439","7.439","7.439","0.42%"
"09-11-2023","7.408","7.408","7.408","7.408","-0.12%"
"08-11-2023","7.417","7.417","7.417","7.417","0.00%"
"07-11-2023","7.417","7.417","7.417","7.417","-0.19%"
"06-11-2023","7.431","7.431","7.431","7.431","-0.12%"
"03-11-2023","7.440","7.440","7.440","7.440","-0.28%"
"02-11-2023","7.461","7.461","7.461","7.461","-0.35%"
"01-11-2023","7.487","7.487","7.487","7.487","-0.13%"
"31-10-2023","7.497","7.497","7.497","7.497","-0.12%"
"30-10-2023","7.506","7.506","7.506","7.506","0.33%"
"27-10-2023","7.481","7.481","7.481","7.481","-0.31%"
"26-10-2023","7.504","7.504","7.504","7.504","0.64%"
"25-10-2023","7.456","7.456","7.456","7.456","-0.47%"
"23-10-2023","7.491","7.491","7.491","7.491","0.11%"
"20-10-2023","7.483","7.483","7.483","7.483","-0.21%"
"19-10-2023","7.499","7.499","7.499","7.499","0.20%"
"18-10-2023","7.484","7.484","7.484","7.484","0.31%"
"17-10-2023","7.461","7.461","7.461","7.461","-0.13%"
"16-10-2023","7.471","7.471","7.471","7.471","0.16%"
