"Date","Price","Open","High","Low","Change %"
"04-04-2025","6.260","6.332","6.332","6.269","-0.48%"
"03-04-2025","6.290","6.336","6.336","6.295","-0.47%"
"02-04-2025","6.320","6.447","6.447","6.313","-1.10%"
"28-03-2025","6.390","6.527","6.527","6.403","-1.24%"
"27-03-2025","6.470","6.486","6.496","6.476","-0.15%"
"26-03-2025","6.480","6.514","6.514","6.478","-0.15%"
"25-03-2025","6.490","6.582","6.582","6.504","0.15%"
"24-03-2025","6.480","6.519","6.519","6.489","-0.15%"
"21-03-2025","6.490","6.577","6.577","6.503","-0.31%"
"20-03-2025","6.510","6.574","6.574","6.515","-0.76%"
"19-03-2025","6.560","6.577","6.577","6.567","0.00%"
"18-03-2025","6.560","6.599","6.599","6.569","0.00%"
"17-03-2025","6.560","6.611","6.611","6.573","-0.15%"
"13-03-2025","6.570","6.608","6.620","6.580","-0.15%"
"12-03-2025","6.580","6.598","6.598","6.588","0.00%"
"11-03-2025","6.580","6.595","6.595","6.586","0.00%"
"10-03-2025","6.580","6.588","6.603","6.583","0.92%"
"07-03-2025","6.520","6.581","6.581","6.573","-0.46%"
"06-03-2025","6.550","6.583","6.583","6.561","-0.30%"
"05-03-2025","6.570","6.600","6.600","6.575","-0.15%"
"04-03-2025","6.580","6.587","6.587","6.587","0.15%"
"03-03-2025","6.570","6.580","6.614","6.580","0.00%"
"28-02-2025","6.570","6.592","6.592","6.575","0.46%"
"27-02-2025","6.540","6.570","6.570","6.553","-0.30%"
"25-02-2025","6.560","6.587","6.587","6.560","1.71%"
"24-02-2025","6.450","6.610","6.610","6.496","-2.05%"
"21-02-2025","6.585","6.608","6.610","6.585","0.15%"
"20-02-2025","6.575","6.598","6.598","6.575","-0.35%"
"18-02-2025","6.598","6.598","6.598","6.598","-0.27%"
"17-02-2025","6.616","6.616","6.616","6.616","0.24%"
"14-02-2025","6.600","6.646","6.646","6.600","-0.29%"
"13-02-2025","6.619","6.598","6.639","6.595","0.39%"
"12-02-2025","6.593","6.710","6.710","6.593","-0.03%"
"11-02-2025","6.595","6.707","6.707","6.580","1.07%"
"10-02-2025","6.525","6.605","6.605","6.525","-0.35%"
"07-02-2025","6.548","6.657","6.657","6.548","0.40%"
"06-02-2025","6.522","6.649","6.649","6.522","-1.42%"
"05-02-2025","6.616","6.692","6.692","6.602","1.63%"
"04-02-2025","6.510","6.654","6.654","6.510","-0.32%"
"03-02-2025","6.531","6.598","6.598","6.531","-0.64%"
"31-01-2025","6.573","6.595","6.649","6.573","0.43%"
"30-01-2025","6.545","6.545","6.545","6.545","0.05%"
"29-01-2025","6.542","6.542","6.542","6.542","0.37%"
"28-01-2025","6.518","6.657","6.657","6.518","-0.67%"
"27-01-2025","6.562","6.637","6.637","6.562","-0.64%"
"24-01-2025","6.604","6.661","6.661","6.604","-0.42%"
"23-01-2025","6.632","6.707","6.707","6.624","0.61%"
"22-01-2025","6.592","6.652","6.652","6.592","-0.93%"
"21-01-2025","6.654","6.765","6.765","6.654","-0.14%"
"20-01-2025","6.663","6.665","6.665","6.663","0.60%"
"17-01-2025","6.623","6.623","6.623","6.623","-0.27%"
"16-01-2025","6.641","6.641","6.641","6.641","-0.03%"
"15-01-2025","6.643","6.706","6.774","6.643","-0.92%"
"14-01-2025","6.705","6.798","6.798","6.703","-0.62%"
"13-01-2025","6.747","6.801","6.851","6.747","0.97%"
"10-01-2025","6.682","6.681","6.724","6.681","0.26%"
"09-01-2025","6.665","6.679","6.679","6.665","0.02%"
"08-01-2025","6.664","6.732","6.732","6.664","0.47%"
"07-01-2025","6.633","6.729","6.729","6.633","-0.02%"
"06-01-2025","6.634","6.754","6.754","6.634","-0.17%"
"03-01-2025","6.645","6.750","6.750","6.645","-0.33%"
"02-01-2025","6.667","6.718","6.718","6.667","-0.21%"
"01-01-2025","6.681","6.749","6.749","6.681","0.13%"
"31-12-2024","6.672","6.739","6.739","6.672","-0.58%"
"30-12-2024","6.711","6.753","6.753","6.711","-0.47%"
"27-12-2024","6.743","6.745","6.836","6.743","0.09%"
"26-12-2024","6.737","6.746","6.746","6.737","0.01%"
"24-12-2024","6.736","6.735","6.736","6.731","0.19%"
"23-12-2024","6.723","6.723","6.723","6.723","0.01%"
"20-12-2024","6.722","6.749","6.753","6.722","-0.07%"
"19-12-2024","6.727","6.796","6.796","6.727","0.34%"
"18-12-2024","6.704","6.712","6.712","6.692","0.65%"
"17-12-2024","6.661","6.702","6.702","6.661","0.12%"
"16-12-2024","6.653","6.699","6.699","6.653","-0.33%"
"13-12-2024","6.675","6.697","6.697","6.675","0.24%"
"12-12-2024","6.659","6.659","6.699","6.659","0.18%"
"11-12-2024","6.647","6.697","6.697","6.647","0.18%"
"10-12-2024","6.635","6.695","6.695","6.635","-0.23%"
"09-12-2024","6.650","6.693","6.693","6.649","0.08%"
"06-12-2024","6.645","6.675","6.731","6.645","0.12%"
"05-12-2024","6.637","6.645","6.645","6.621","0.35%"
"04-12-2024","6.614","6.643","6.643","6.614","-0.14%"
"03-12-2024","6.623","6.641","6.655","6.623","-0.12%"
"02-12-2024","6.631","6.695","6.695","6.631","-1.25%"
"29-11-2024","6.715","6.756","6.756","6.708","-0.13%"
"28-11-2024","6.724","6.765","6.765","6.722","0.15%"
"27-11-2024","6.714","6.763","6.763","6.714","-0.12%"
"26-11-2024","6.722","6.761","6.761","6.722","0.21%"
"25-11-2024","6.708","6.743","6.759","6.708","-0.04%"
